Date,Year,MonthName,MonthNumber,Quarter,WeekNumber,DayOfWeek
2023-09-15,2023,September,9,3,37,Friday
2023-09-16,2023,September,9,3,37,Saturday
2023-09-17,2023,September,9,3,37,Sunday
2023-09-18,2023,September,9,3,38,Monday
2023-09-19,2023,September,9,3,38,Tuesday
2023-09-20,2023,September,9,3,38,Wednesday
2023-09-21,2023,September,9,3,38,Thursday
2023-09-22,2023,September,9,3,38,Friday
2023-09-23,2023,September,9,3,38,Saturday
2023-09-24,2023,September,9,3,38,Sunday
2023-09-25,2023,September,9,3,39,Monday
2023-09-26,2023,September,9,3,39,Tuesday
2023-09-27,2023,September,9,3,39,Wednesday
2023-09-28,2023,September,9,3,39,Thursday
2023-09-29,2023,September,9,3,39,Friday
2023-09-30,2023,September,9,3,39,Saturday
2023-10-01,2023,October,10,4,39,Sunday
2023-10-02,2023,October,10,4,40,Monday
2023-10-03,2023,October,10,4,40,Tuesday
2023-10-04,2023,October,10,4,40,Wednesday
2023-10-05,2023,October,10,4,40,Thursday
2023-10-06,2023,October,10,4,40,Friday
2023-10-07,2023,October,10,4,40,Saturday
2023-10-08,2023,October,10,4,40,Sunday
2023-10-09,2023,October,10,4,41,Monday
2023-10-10,2023,October,10,4,41,Tuesday
2023-10-11,2023,October,10,4,41,Wednesday
2023-10-12,2023,October,10,4,41,Thursday
2023-10-13,2023,October,10,4,41,Friday
2023-10-14,2023,October,10,4,41,Saturday
2023-10-15,2023,October,10,4,41,Sunday
2023-10-16,2023,October,10,4,42,Monday
2023-10-17,2023,October,10,4,42,Tuesday
2023-10-18,2023,October,10,4,42,Wednesday
2023-10-19,2023,October,10,4,42,Thursday
2023-10-20,2023,October,10,4,42,Friday
2023-10-21,2023,October,10,4,42,Saturday
2023-10-22,2023,October,10,4,42,Sunday
2023-10-23,2023,October,10,4,43,Monday
2023-10-24,2023,October,10,4,43,Tuesday
2023-10-25,2023,October,10,4,43,Wednesday
2023-10-26,2023,October,10,4,43,Thursday
2023-10-27,2023,October,10,4,43,Friday
2023-10-28,2023,October,10,4,43,Saturday
2023-10-29,2023,October,10,4,43,Sunday
2023-10-30,2023,October,10,4,44,Monday
2023-10-31,2023,October,10,4,44,Tuesday
2023-11-01,2023,November,11,4,44,Wednesday
2023-11-02,2023,November,11,4,44,Thursday
2023-11-03,2023,November,11,4,44,Friday
2023-11-04,2023,November,11,4,44,Saturday
2023-11-05,2023,November,11,4,44,Sunday
2023-11-06,2023,November,11,4,45,Monday
2023-11-07,2023,November,11,4,45,Tuesday
2023-11-08,2023,November,11,4,45,Wednesday
2023-11-09,2023,November,11,4,45,Thursday
2023-11-10,2023,November,11,4,45,Friday
2023-11-11,2023,November,11,4,45,Saturday
2023-11-12,2023,November,11,4,45,Sunday
2023-11-13,2023,November,11,4,46,Monday
2023-11-14,2023,November,11,4,46,Tuesday
2023-11-15,2023,November,11,4,46,Wednesday
2023-11-16,2023,November,11,4,46,Thursday
2023-11-17,2023,November,11,4,46,Friday
2023-11-18,2023,November,11,4,46,Saturday
2023-11-19,2023,November,11,4,46,Sunday
2023-11-20,2023,November,11,4,47,Monday
2023-11-21,2023,November,11,4,47,Tuesday
2023-11-22,2023,November,11,4,47,Wednesday
2023-11-23,2023,November,11,4,47,Thursday
2023-11-24,2023,November,11,4,47,Friday
2023-11-25,2023,November,11,4,47,Saturday
2023-11-26,2023,November,11,4,47,Sunday
2023-11-27,2023,November,11,4,48,Monday
2023-11-28,2023,November,11,4,48,Tuesday
2023-11-29,2023,November,11,4,48,Wednesday
2023-11-30,2023,November,11,4,48,Thursday
2023-12-01,2023,December,12,4,48,Friday
2023-12-02,2023,December,12,4,48,Saturday
2023-12-03,2023,December,12,4,48,Sunday
2023-12-04,2023,December,12,4,49,Monday
2023-12-05,2023,December,12,4,49,Tuesday
2023-12-06,2023,December,12,4,49,Wednesday
2023-12-07,2023,December,12,4,49,Thursday
2023-12-08,2023,December,12,4,49,Friday
2023-12-09,2023,December,12,4,49,Saturday
2023-12-10,2023,December,12,4,49,Sunday
2023-12-11,2023,December,12,4,50,Monday
2023-12-12,2023,December,12,4,50,Tuesday
2023-12-13,2023,December,12,4,50,Wednesday
